country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Malta,0,0,0,0,0,848,4000,15k,25.2k,30.3k,51.6k,70.9k,115k,127k,139k,167k,164k,191k,205k,242k,261k,284k,288k,294k,315k,329k,340k,355k,358k,378k
Myanmar,0,0,0,0,0,0,,,,70,71,137,203,11.6k,11.8k,31.9k,89.8k,108k,110k,111k,127k,500k,2.06M,4.15M,6.02M,11.4M,13.3M,16.4M,16.5M,16.6M
Montenegro,,,,,,,,,,,,,,,156k,167k,179k,191k,204k,219k,234k,223k,356k,378k,382k,427k,438k,447k,449k,461k
Mongolia,0,0,0,0,0,202,421,2630,3440,12.1k,30.1k,40k,49.8k,50.4k,50.9k,51.5k,52.2k,233k,258k,267k,277k,346k,463k,510k,586k,675k,681k,738k,752k,1.65M
Mozambique,0,0,0,0,0,0,486,1940,3400,9700,19.4k,29.2k,48.7k,81.1k,135k,175k,178k,197k,348k,614k,981k,1.04M,1.49M,1.86M,2.43M,4.58M,4.88M,2.86M,2.95M,3.04M
Mauritania,0,0,0,0,0,0,,102,1010,3040,5050,7070,10.1k,12.1k,14.2k,20.3k,30.5k,45.9k,61.6k,77.4k,140k,162k,185k,237k,421k,615k,749k,891k,916k,941k
Mauritius,0,0,0,0,0,0,2100,5490,29.9k,54.7k,86.3k,105k,123k,147k,166k,185k,205k,249k,270k,280k,354k,437k,444k,504k,563k,631k,659k,701k,743k,813k
Malawi,0,0,0,0,0,0,,479,1910,9470,14.1k,18.8k,25.2k,33.5k,42.7k,48.5k,55.2k,129k,96.1k,151k,329k,498k,670k,800k,950k,888k,1.97M,2.44M,2.5M,2.57M
Malaysia,0,0,199,4980,19.9k,29.8k,179k,498k,1.49M,2.79M,4.96M,6.33M,7.83M,8.64M,10.6M,12.5M,13.5M,14.9M,15.2M,15.5M,15.9M,17.5M,19.1M,16.8M,19M,21.5M,24.2M,24.9M,25.6M,26.9M
Namibia,0,0,0,0,0,100,150,998,4970,5930,29.5k,44.1k,48.8k,63.1k,72.6k,77.7k,86.7k,97k,109k,135k,246k,259k,284k,310k,337k,595k,732k,1.23M,1.25M,1.27M
Niger,0,0,0,0,0,0,102,204,307,3080,4110,12.4k,15.5k,19.7k,24.9k,30.2k,41.6k,57.3k,107k,120k,137k,154k,187k,213k,240k,495k,899k,2.21M,1.18M,1.22M
Nigeria,0,0,0,0,0,0,9780,19.6k,29.3k,48.9k,78.4k,113k,412k,737k,1.74M,4.93M,7.9M,9.91M,12M,14.4M,18.2M,22.5M,26.9M,32.8M,37M,65.2M,47.7M,80.2M,82.3M,84.4M
Nicaragua,0,0,0,0,600,1400,3990,9960,14.9k,24.9k,49.7k,74.5k,89.5k,99.5k,125k,140k,155k,218k,300k,419k,582k,626k,808k,940k,1.08M,1.23M,1.55M,1.78M,1.8M,1.82M
Netherlands,50k,80.1k,200k,300k,501k,1M,1.5M,2.2M,3.5M,6.2M,7.01M,7.91M,9.87M,10.4M,11.2M,13.3M,13.8M,14.2M,14.5M,14.9M,15.1M,15.3M,15.6M,15.8M,15.5M,15.5M,15.4M,15.9M,16.2M,15.9M
Norway,30k,60.1k,95.1k,120k,180k,281k,802k,903k,1M,1.79M,2.34M,2.89M,3.31M,3.57M,3.57M,3.8M,3.86M,4.1M,4.32M,4.44M,4.56M,4.63M,4.75M,4.83M,4.95M,5.03M,5.11M,5.1M,5.15M,5.27M
Nepal,0,0,0,0,0,200,996,4970,14.8k,34.5k,49k,58.4k,77.4k,96k,114k,213k,298k,372k,461k,530k,2.14M,2.43M,3.01M,3.58M,4.15M,4.75M,5.37M,9.4M,9.55M,9.73M
Nauru,0,0,0,0,0,0,,,,,,305,302,298,296,294,294,,,,,5440,5470,5510,5560,5600,5660,6030,6090,6140
New Zealand,0,0,10k,22.5k,115k,179k,299k,548k,1.2M,1.58M,1.83M,2.08M,2.34M,2.45M,2.52M,2.59M,2.89M,2.95M,3.08M,3.45M,3.52M,3.59M,3.65M,3.74M,3.91M,4.07M,4.12M,4.27M,4.31M,4.34M
Oman,0,0,0,0,0,0,0,9890,19.4k,56.7k,79.8k,135k,160k,173k,165k,168k,214k,443k,550k,771k,1.09M,1.56M,2.1M,2.5M,2.83M,3.14M,3.44M,3.74M,3.87M,4.6M
Pakistan,0,0,0,0,0,152,3810,36.1k,59.3k,76.7k,78.8k,1.92M,3.85M,7.72M,9.66M,10.2M,10.7M,11.4M,12M,13.2M,14.4M,16.5M,18.7M,20.8M,23.4M,27.9M,25.2M,32.2M,32.9M,37M
Panama,0,0,0,0,205,1540,6150,15.4k,80.1k,114k,199k,225k,268k,321k,364k,382k,588k,770k,1.19M,1.4M,1.46M,1.58M,1.52M,1.69M,1.75M,2.03M,2.18M,2.38M,2.42M,2.7M
Peru,0,0,0,0,2030,8120,61k,102k,305k,509k,814k,2.03M,2.43M,3.18M,3.9M,4.77M,5.82M,7.14M,8.73M,9.04M,10.1M,10.5M,11.3M,11.7M,12.1M,12.4M,14.1M,15.3M,16.8M,19.5M
Philippines,0,0,0,0,3990,19.9k,39.9k,100k,824k,1.09M,1.55M,2.01M,3.52M,4.03M,4.44M,4.66M,5.05M,5.34M,5.65M,8.32M,23.5M,27.7M,35.2M,47.6M,49.9M,36.8M,57.5M,63.2M,64M,46.5M
Palau,0,0,0,0,0,0,,,,,,,3980,4280,5360,5340,5270,5170,5050,4930,,,,,,,,,,
Papua New Guinea,0,0,0,0,0,0,110,5480,13.1k,38.1k,48.8k,54k,80.6k,85.5k,95.8k,111k,117k,122k,80.2k,115k,93.6k,149k,267k,397k,517k,641k,794k,946k,965k,984k
Poland,0,1990,19.9k,49.8k,149k,249k,499k,799k,1.58M,2.1M,2.81M,3.81M,8.14M,9.56M,12.5M,14.9M,17.1M,18.6M,20.4M,22.6M,23.9M,23.7M,23.8M,24M,25.4M,25.9M,27.8M,28.8M,29.4M,32M
North Korea,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Portugal,0,9940,24.9k,45k,72.2k,151k,302k,504k,1.01M,1.51M,1.69M,1.87M,2.01M,3.09M,3.33M,3.68M,4.01M,4.45M,4.68M,5.12M,5.65M,5.84M,6.35M,6.5M,6.73M,7.12M,7.27M,7.59M,7.66M,7.71M
Paraguay,0,0,0,0,0,0,995,4980,9960,19.9k,39.8k,59.6k,99.3k,119k,198k,461k,471k,672k,868k,1.16M,1.24M,1.57M,1.88M,2.4M,2.84M,3.33M,3.62M,4.19M,4.52M,4.83M
Palestine,0,0,0,0,0,0,,,,,35.8k,60.8k,105k,142k,154k,573k,674k,795k,939k,1.28M,1.52M,1.7M,1.84M,2.02M,2.38M,2.6M,2.84M,3.1M,3.13M,3.52M
Qatar,0,0,0,0,0,977,4860,16.5k,19.4k,23.2k,28.8k,37.9k,65.5k,131k,156k,214k,296k,451k,636k,879k,1.28M,1.4M,1.52M,1.99M,2.25M,2.38M,2.52M,2.65M,2.77M,2.82M
Romania,0,0,0,861,6080,17.2k,50.5k,101k,503k,602k,800k,998k,1.44M,1.93M,3.24M,4.6M,5.24M,5.95M,6.75M,7.55M,8.17M,8.14M,9.28M,10M,10.8M,11.1M,11.8M,12.5M,13.8M,14.3M
Russia,0,0,997,20k,79.8k,220k,399k,699k,1.2M,1.5M,2.89M,4.29M,5.99M,12M,18.5M,21.9M,25.8M,35.3M,38.4M,41.6M,61.7M,70.4M,91.9M,98.1M,102M,102M,106M,111M,118M,121M
Rwanda,0,0,0,0,0,0,53,104,819,5040,4990,19.8k,24.7k,30.5k,37.4k,49.2k,50.3k,196k,429k,753k,803k,721k,846k,973k,1.17M,2.05M,2.33M,2.61M,2.68M,2.75M
Saudi Arabia,0,0,0,0,0,2040,5090,10.1k,20.1k,99.7k,457k,993k,1.39M,1.8M,2.37M,3.03M,4.77M,7.56M,9.32M,10.1M,11.2M,13.4M,15.7M,18.2M,20M,22.1M,24.3M,27.2M,31.4M,32.8M
Sudan,0,0,0,0,0,0,0,313,1250,2340,7030,39.2k,126k,159k,239k,400k,409k,2.8M,2.86M,2.93M,5.77M,6.17M,7.6M,8.42M,9.36M,10.4M,5.62M,12.6M,12.9M,13.2M
Senegal,0,0,0,0,0,60,1000,2500,7470,29.8k,39.6k,98.7k,104k,222k,474k,531k,639k,805k,855k,925k,1.01M,1.28M,1.45M,1.81M,2.51M,3.94M,3.85M,7.09M,7.29M,7.5M
Singapore,0,5010,15.1k,25.2k,40.5k,101k,304k,505k,756k,955k,1.45M,1.7M,1.93M,2.22M,2.59M,2.6M,2.6M,3.2M,3.3M,3.43M,3.64M,3.74M,3.87M,4.41M,4.37M,4.42M,4.77M,4.82M,5.08M,5.16M
Solomon Islands,0,0,0,0,0,89,993,1490,1990,1990,1990,1990,2190,2480,2980,3970,7920,9840,15.1k,20.6k,26.4k,32.5k,38.9k,45.7k,52.8k,60.3k,68.1k,75.8k,77.8k,79.9k
Sierra Leone,0,0,0,0,0,0,108,216,649,2160,5420,7620,8750,9890,11k,12.2k,13.3k,14.4k,15.3k,16.3k,37.2k,59.1k,168k,275k,425k,455k,863k,674k,689k,703k
El Salvador,0,0,0,0,0,0,4920,14.8k,24.7k,49.4k,69.3k,88.9k,113k,150k,193k,254k,334k,373k,618k,746k,983k,1.17M,1.27M,1.45M,1.56M,1.7M,1.84M,2.16M,2.17M,2.18M
San Marino,0,0,0,0,0,353,375,377,378,11.6k,13.4k,14k,14.3k,14.3k,14.6k,14.7k,14.9k,15.1k,16.6k,16.7k,16.9k,15.7k,15.9k,16.1k,16.3k,16.5k,16.6k,20.3k,20.3k,20.4k
Somalia,0,0,0,0,0,0,116,234,590,1190,1770,7260,11k,36.9k,107k,113k,118k,124k,130k,136k,140k,155k,175k,196k,219k,243k,267k,292k,301k,309k
Serbia,,,,,,,,,,,,,,,2.17M,2.42M,2.49M,3.02M,3.23M,3.44M,3.68M,3.78M,4.3M,4.77M,5.52M,5.8M,5.94M,6.21M,6.46M,6.79M
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,397k,477k,589k,724k,870k,876k,882k
Sao Tome and Principe,0,0,0,0,0,0,,,408,508,6600,9140,11.2k,15.3k,20.5k,21.7k,22.9k,24.3k,26.5k,28.9k,33.8k,37.2k,40.6k,44.2k,47.8k,51.5k,56.9k,62k,63.2k,64.4k
Suriname,0,0,0,0,0,507,1010,4560,7680,8800,11.8k,14.6k,20.1k,23k,30k,32k,48k,72.1k,109k,164k,167k,171k,188k,205k,222k,239k,256k,279k,282k,285k
Slovak Republic,0,0,0,6840,17.1k,28.1k,42.2k,63.3k,145k,294k,509k,677k,2.17M,2.32M,2.86M,2.98M,3.03M,3.34M,3.57M,3.78M,4.09M,4.03M,4.15M,4.22M,4.34M,4.22M,4.38M,4.45M,4.4M,4.52M
Slovenia,0,0,0,8200,21.4k,57.7k,101k,151k,201k,251k,300k,600k,553k,633k,812k,934k,1.08M,1.14M,1.17M,1.3M,1.43M,1.38M,1.41M,1.5M,1.48M,1.51M,1.57M,1.64M,1.66M,1.73M
Sweden,50k,100k,130k,150k,300k,450k,801k,2.1M,2.97M,3.68M,4.06M,4.61M,6.3M,7.08M,7.54M,7.67M,7.98M,7.51M,8.31M,8.47M,8.45M,8.78M,8.89M,9.12M,8.97M,8.85M,8.82M,9.46M,9.19M,9.48M
Eswatini,0,0,0,0,0,10,477,853,942,4680,9310,13k,18.5k,24.9k,33.1k,38.1k,38.3k,42.7k,71.9k,94.5k,118k,194k,224k,268k,287k,283k,318k,529k,534k,540k
Seychelles,0,0,0,0,0,0,506,1010,2000,4980,5990,9080,12k,12.5k,21.2k,22.5k,31.3k,34.6k,36.6k,36.7k,37.4k,39.7k,43.6k,47.1k,48.3k,51.5k,54.1k,56.7k,57.1k,57.4k
Syria,0,0,0,0,0,0,0,4950,9940,19.9k,29.8k,59.3k,358k,592k,770k,1.04M,1.49M,2.29M,2.89M,3.67M,4.42M,4.74M,4.97M,5.13M,5.26M,5.4M,5.57M,5.86M,5.8M,5.85M
Chad,0,0,0,0,0,0,,49,332,992,2980,3990,15k,30k,35.1k,40.3k,60.8k,91.7k,133k,173k,203k,235k,268k,331k,396k,494k,728k,976k,1.01M,1.04M
Togo,0,0,0,0,0,0,475,9470,14.2k,28.2k,39.4k,45.6k,52k,64k,82k,101k,115k,130k,146k,163k,193k,231k,271k,313k,407k,521k,849k,952k,975k,999k
Thailand,0,30,199,7920,22.7k,44.5k,69.4k,219k,672k,1.51M,2.32M,3.53M,4.83M,6M,6.94M,9.83M,11.3M,13.3M,12.1M,13.4M,15.1M,16M,17.9M,19.7M,23.9M,27M,32.8M,36.6M,39.4M,46.4M
Tajikistan,0,0,0,0,0,0,,,,2010,3020,3240,3570,4230,5160,20.3k,261k,508k,633k,742k,869k,1M,1.14M,1.29M,1.44M,1.6M,1.77M,1.95M,2M,2.05M
Turkmenistan,0,0,0,0,0,0,,,,2010,6020,8000,13.9k,19.8k,35.5k,47.4k,63.5k,68.5k,86.4k,97.7k,153k,259k,379k,515k,667k,835k,1.02M,1.22M,1.24M,1.26M
Timor-Leste,0,0,0,0,0,0,,,,,,,0,0,0,985,5080,10.4k,15.8k,21.5k,32.8k,44.5k,79.3k,127k,206k,275k,308k,342k,349k,356k
Tonga,0,0,0,0,0,118,158,494,742,992,2390,2780,2880,2970,3960,4950,5950,7370,8390,10.4k,16.6k,25.9k,30.8k,33.3k,36.3k,39k,40.4k,42.1k,42.6k,43.1k
Trinidad and Tobago,0,0,0,0,0,1980,4940,14.8k,34.4k,73.5k,97.8k,196k,281k,333k,349k,376k,391k,423k,457k,585k,644k,738k,800k,864k,887k,948k,1.01M,1.07M,1.07M,1.08M
Tunisia,0,0,0,0,662,1020,2560,4100,10.3k,154k,267k,421k,519k,646k,855k,976k,1.32M,1.76M,2.87M,3.59M,3.91M,4.2M,4.5M,4.8M,5.11M,5.2M,5.61M,7.34M,7.42M,7.8M
Turkey,0,0,0,4790,28.7k,47.8k,115k,286k,429k,1.43M,2.38M,3.33M,7.41M,8.15M,9.77M,10.5M,12.5M,19.9M,24.2M,26M,28.8M,31.6M,33.7M,35.1M,39.4M,42.2M,46.6M,52.5M,58.5M,61.7M
Tuvalu,0,0,0,0,0,0,,,,,492,497,503,510,517,524,,1020,1550,2080,2630,3190,3760,4010,4300,4740,5170,5610,5670,5750
Taiwan,0,10k,50.2k,100k,180k,250k,602k,1.65M,2.98M,4.74M,6.17M,7.72M,10.6M,11.6M,12.1M,13.2M,14.5M,14.8M,15.2M,16.2M,16.6M,16.8M,17.7M,17.9M,18.3M,18.4M,18.8M,22M,22M,21.1M
Tanzania,0,0,0,0,0,0,494,2460,2950,24.6k,39.3k,58.9k,78.6k,246k,328k,423k,514k,651k,795k,1.03M,1.29M,1.46M,1.86M,2.13M,3.5M,10.3M,6.9M,13.7M,14.1M,14.5M
Uganda,0,0,0,0,0,585,973,2240,14.6k,24.2k,38.7k,58k,96.7k,121k,193k,482k,723k,1.08M,2.4M,3.07M,4.05M,4.36M,4.87M,5.53M,6.24M,6.82M,8.67M,9.76M,10.1M,10.5M
Ukraine,0,0,0,399,6980,21.9k,49.9k,99.8k,150k,200k,350k,600k,899k,1.5M,1.65M,1.76M,2.1M,3.04M,5.08M,8.23M,10.7M,13.1M,16M,18.5M,20.9M,22M,23.7M,26.2M,26.1M,25.9M
Uruguay,0,0,0,0,2000,10000,60k,110k,230k,330k,350k,370k,380k,530k,567k,667k,978k,1.13M,1.31M,1.4M,1.56M,1.73M,1.84M,1.96M,2.09M,2.2M,2.27M,2.35M,2.36M,2.66M
USA,1.98M,2.96M,4.43M,5.9M,12.8M,24.5M,44.1M,58.7M,82.8M,99.9M,121M,140M,169M,179M,189M,201M,205M,225M,225M,217M,222M,217M,235M,226M,233M,239M,276M,284M,285M,287M
Uzbekistan,0,0,0,0,0,348,995,2490,4990,7490,120k,150k,275k,492k,676k,884k,1.71M,2.04M,2.51M,3.34M,4.53M,5.39M,6.95M,8.02M,10.8M,13.2M,14.7M,16.7M,17M,17.3M
St. Vincent and the Grenadines,0,0,0,0,0,139,522,1000,2000,3000,3500,5500,6000,7000,8000,9990,13k,17.4k,22.8k,33.6k,36.5k,39.8k,43.4k,47.3k,51.6k,18.7k,22.6k,24.2k,24.7k,24.8k
Venezuela,0,0,2480,8740,11.9k,26.8k,55.6k,89.3k,322k,674k,813k,1.14M,1.23M,1.92M,2.18M,3.32M,4.09M,5.68M,7.15M,9.17M,10.6M,11.6M,14.4M,16.3M,17.1M,19.3M,17.9M,21.2M,20.8M,20.5M
Vietnam,0,0,0,0,0,0,103,3070,10.2k,102k,203k,1.02M,1.51M,3.11M,6.35M,10.7M,14.6M,17.7M,20.6M,23.1M,27M,31.2M,33M,34.9M,37.6M,41.7M,49.6M,55M,67.2M,66.3M
Vanuatu,0,0,0,0,0,0,98,244,488,976,3900,5360,6810,7770,9690,10.6k,12.5k,14.9k,16.3k,17.3k,18.9k,22.3k,26.4k,29k,49.6k,60.6k,66.8k,73.4k,75.3k,77.1k
Samoa,0,0,0,0,0,0,,300,398,495,988,2960,3960,4970,5490,6030,8080,8650,9220,11.1k,13k,20.6k,24.4k,29.2k,40.8k,49.2k,57.2k,65.7k,65.9k,66.2k
Yemen,0,0,0,0,0,0,96,2400,3840,9580,14.4k,16.3k,95.7k,115k,172k,211k,258k,1.07M,1.51M,2.24M,2.86M,3.55M,4.27M,5.03M,5.82M,6.38M,6.68M,7.44M,7.61M,7.79M
South Africa,0,5010,15k,45.1k,100k,280k,356k,702k,1.27M,1.83M,2.41M,2.89M,3.1M,3.27M,3.98M,3.59M,3.69M,3.96M,4.2M,5.05M,12.3M,17.7M,21.7M,25M,26.7M,28.8M,30.4M,32M,32.5M,32.9M
Zambia,0,0,0,0,601,799,847,895,2980,14.9k,19.9k,24.9k,52.4k,110k,233k,338k,506k,609k,713k,834k,1.36M,1.61M,1.95M,2.3M,2.93M,3.33M,4.17M,4.69M,2.48M,2.55M
Zimbabwe,0,0,0,0,196,877,1940,3860,9590,19.1k,47.7k,95.4k,131k,216k,252k,290k,292k,368k,433k,501k,813k,1.08M,1.57M,2.07M,2.22M,3.14M,3.24M,3.85M,3.91M,3.96M
